	DrugBank_ID	DrugBank_Name	Indication	Targets	Proximity	Normalized_Enrichment_Score	FDR
10	DB00896	Rimexolone	For the treatment of postoperative inflammation following ocular surgery and in the treatment of anterior uveitis.	NR3C1	-4.517802239538131	-1.4439436326578345	<0.0001
11	DB00846	Flurandrenolide	For relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses, particularly dry, scaling localized lesions	NR3C1	-4.517802239538131	-1.4172188355391966	<0.0001
12	DB00180	Flunisolide	For the maintenance treatment of asthma as a prophylactic therapy.	NR3C1	-4.517802239538131	-1.3482477198200058	<0.0001
13	DB15566	Prednisolone acetate	Prednisolone acetate is indicated as an anti-inflammatory or immunosuppressive agent for allergic, dermatologic, gastrointestinal, hematologic, ophthalmologic, nervous system, renal, respiratory, rheumatologic, or infectious conditions.[L9449] Prednisolone acetate is also indicated in organ transplant patients, as well as endocrine or neoplastic conditions.[L9449]	NR3C1	-4.517802239538131	1.3165691385290235	<0.0001
14	DB00620	Triamcinolone	"Triamcinolone hexacetonide injections are indicated for intralesional administration in alopecia areata, discoid lupus erythematosus, keloids, and necrobiosis lipoidica diabeticorum.[L8246] This formulation can also be used for localized hypertrophic infiltrated inflammatory lesions of granuloma annulare, lichen planus, lichen simplex chronicus, and psoriatic plaques.[L8246]

Triamcinolone acetonide spray and cream are indicated for the treatment of inflammatory and pruritic manifestations of corticosteroid responsive dermatoses.[L8249,L8258] A triamcinolone acetonide 10mg/mL or 40mg/mL injection is indicated intra-articularly for acute gouty arthritis, acute and subacute bursitis, acute nonspecific tenosynovitis, epicondylitis, rheumatoid arthritis, and synovitis of osteoarthritis.[L8252,L8255] The same 10mg/mL injection is indicated by the intralesional route for the treatment of alopecia areata, discoid lupus erythematosus, keloids, necrobiosis lipoidica diabeticorum, and tumors of an aponeurosis or tendon.[L8252] This formulation can also be used for localized hypertrophic infiltrated inflammatory lesions of granuloma annulare, lichen planus, lichen simplex chronicus, and psoriatic plaques.[L8252] The 40mg/mL injection is indicated intramuscularly for controlling severe allergic conditions such as asthma, atopic dermatitis, contact dermatitis, drug hypersensitivity, perennial or seasonal allergic rhinitis, serum sickness, and transfusion reactions; treatment of bullous dermatitis herpetiformis, exfoliative erythroderma, mycosis fungoides, pemphigus, Stevens-Johnson syndrome, congenital adrenal hyperplasia, hypercalcemia in
cancer, nonsuppurative thyroiditis, autoimmune hemolytic anemia, Diamond-Blackfan anemia, pure red cell aplasia, secondary thrombocytopenia, trichinosis, tuberculous meningitis, acute exacerbations of multiple sclerosis or cerebral edema, sympathetic ophthalmia, temporal arteritis, uveitis, ocular inflammation, berylliosis, idiopathic eosinophilic pneumonias, symptomatic sarcoidosis, dermatomyositis, polymyositis, and systemic lupus erythematosus; adjunct treatment of adrenocortical insufficiency, regional enteritis, ulcerative colitis, fulminating or disseminated pulmonary tuberculosis, acute gouty arthritis, acute rheumatic carditis, ankylosing spondylitis, psoriatic arthritis, rheumatoid arthritis; palliative management of leukemia and lymphoma; induction of diuresis or remission of proteinuria in idiopathic nephrotic syndrome or lupus erythematosus.[L8255] A triamcinolone intravitreal injection is indicated for the treatment of sympathetic ophthalmia, temporal arteritis, uveitis, and ocular inflammatory conditions.[L8261] The intravitreal injection is also used for visualization during vitrectomy.[L8261] An extended release suspension is indicated intra-articularly for management of pain in osteoarthritis of the knee.[L8264]

A triamcinolone acetonide suspension for injection into the suprachoroidal space is indicated for the treatment of macular edema associated with uveitis.[L38963]"	NR3C1	-4.517802239538131	1.1127890662659254	<0.0001
15	DB05134	Tanespimycin	Investigated for use/treatment in leukemia (myeloid) and solid tumors.	HSP90AA1, HSP90AB1	-4.510462928540997	-2.2120359910640617	<0.0001
16	DB08473	Dichlororibofuranosylbenzimidazole		CSNK2A1	-4.398929196931264	-1.7632360269837182	<0.0001
17	DB04462	Tetrabromo-2-Benzotriazole		CSNK2A1	-4.398929196931264	-1.5092557126677377	<0.0001
18	DB13877	Iniparib		PARP1	-4.349660617127457	-2.207999806736085	<0.0001
19	DB02690	NU1025		PARP1	-4.349660617127457	1.6630167716901427	<0.0001
20	DB03444	6-bromoindirubin-3'-oxime		GSK3B	-4.344977982542132	-1.919730723270722	<0.0001
21	DB01950	AR-AO-14418		GSK3B	-4.344977982542132	1.5939116738828711	<0.0001
22	DB07794	5-(2-PHENYLPYRAZOLO[1,5-A]PYRIDIN-3-YL)-1H-PYRAZOLO[3,4-C]PYRIDAZIN-3-AMINE		MAPK1	-4.1917126012493	2.1932017159083355	<0.0001
23	DB08521	4-[4-(4-Fluorophenyl)-2-[4-[(R)-methylsulfinyl]phenyl]-1H-imidazol-5-yl]pyridine		MAPK1, MAPK14	-4.089842649608241	1.6785420504035193	<0.0001
24	DB13978	Selisistat		SIRT1	-4.034003848485161	-2.315225258946036	<0.0001
25	DB03044	Doramapimod		MAPK14	-3.987972697967182	-2.7887511337941904	<0.0001
26	DB07138	Neflamapimod		MAPK14	-3.987972697967182	2.130731299257223	<0.0001
27	DB07460	2-({5-CHLORO-2-[(2-METHOXY-4-MORPHOLIN-4-YLPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)-N-METHYLBENZAMIDE		PTK2	-3.6634265581989047	-1.9541452218006718	<0.0001
28	DB04868	Nilotinib	For the potential treatment of various leukemias, including chronic myeloid leukemia (CML).	ABL1, KIT	-3.6291277902353585	1.239650074428349	<0.0001
29	DB06733	Bafilomycin A1		ATP6V1A	-3.600453179587328	-1.4962264424999205	<0.0001
30	DB07379	(2S)-2-({6-[(3-Amino-5-chlorophenyl)amino]-9-isopropyl-9H-purin-2-yl}amino)-3-methyl-1-butanol		CDK6	-3.5449330687551113	-1.3905452064927837	<0.0001
31	DB08881	Vemurafenib	"Vemurafenib is approved since 2011 for the treatment of metastatic melanoma with a mutation on BRAF in the valine located in the exon 15 at codon 600, this mutation is denominated as V600E.[A31270] The V600E mutation, a substitution of glutamic acid for valine, accounts for 54% of the cases of cutaneous melanoma.[A31271] 
Vemurafenib approval was extended in 2017, for its use as a treatment of adult patients with Erdheim-Chester Disease whose cancer cells present BRAF V600 mutation.[L1013] Erdheim-Chester disease is an extremely rare histiocyte cell disorder that affects large bones, large vessels, central nervous system, as well as, skin and lungs. It is reported an association of Erdheim-Chester disease and V600E mutation.[A31272]"	BRAF	-3.51515641300938	-1.974758370182931	<0.0001
32	DB06999	PLX-4720		BRAF	-3.51515641300938	-1.5541601484090128	<0.0001
33	DB12015	Alpelisib	Alpelisib is indicated in combination with fulvestrant to treat postmenopausal women, and men, with advanced or metastatic breast cancer.[Label] This cancer must be hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative, and PIK3CA­ mutated.[Label] The cancer must be detected by an FDA-approved test following progression on or after an endocrine-based regimen.[Label]	PIK3CA	-3.496567147098933	1.6358505732595794	<0.0001
34	DB07970	5-[(2-methyl-5-{[3-(trifluoromethyl)phenyl]carbamoyl}phenyl)amino]pyridine-3-carboxamide		EPHA7	-3.339583934797019	-2.393848729138258	<0.0001
35	DB07350	(2E)-N-hydroxy-3-[1-methyl-4-(phenylacetyl)-1H-pyrrol-2-yl]prop-2-enamide		HDAC8	-3.2661732420233527	-2.0014355177688112	<0.0001
36	DB02565	4-(dimethylamino)-N-[7-(hydroxyamino)-7-oxoheptyl]benzamide		HDAC8	-3.2661732420233527	-1.880439585174177	<0.0001
37	DB01167	Itraconazole	For the treatment of the following fungal infections in immunocompromised and non-immunocompromised patients: pulmonary and extrapulmonary blastomycosis, histoplasmosis, aspergillosis, and onychomycosis.	CYP51A1	-3.1447227059211196	-1.5827572565053536	<0.0001
38	DB07705	(S)-econazole		CYP51A1	-3.1447227059211196	-1.2279759383025948	<0.0001
